LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID19125,19125,13,43.168304443359375,257.8092717370263,61.87398977743755,0.0,74.0,74,6.0,1,,3214.465703971119,3223.0,2791.0,3589.0,890407.0,220.0540029585271,-0.08252845265248052,-2.6279712924401273
ID19137,19137,13,43.60140609741211,258.4811034995585,62.89847939535613,0.0,75.0,75,6.0,1,,3215.9422382671482,3231.0,2790.0,3658.0,890816.0,226.12069590212622,-0.0824295042691037,-2.555295732063969
ID19150,19150,13,45.36993408203125,258.8529025697808,63.88207047366114,0.0,76.0,76,6.0,1,,3205.4693140794225,3234.0,2771.0,3607.0,887915.0,227.24180275046547,-0.08455407475395872,-2.6057649558950695
ID19163,19163,13,46.22209930419922,259.3648575641429,64.93270749181461,0.0,77.0,77,6.0,1,,3204.895306859206,3229.0,2766.0,3602.0,887756.0,232.01814618484912,-0.0848473848518645,-2.5613376085683277
ID19175,19175,13,47.01860046386719,259.8304217959874,65.87613591136768,0.0,78.0,78,6.0,1,,3199.895306859206,3222.0,2759.0,3612.0,886371.0,229.87684134779545,-0.08660442655887786,-2.639682735172217
ID19188,19188,13,47.45436477661133,260.06989376820684,66.78277205473213,0.0,79.0,79,6.0,1,,3203.0577617328518,3237.0,2709.0,3622.0,887247.0,236.33201801374753,-0.0862380095924057,-2.55821969563431
ID19200,19200,13,48.344844818115234,260.37352108463233,67.61780210254362,0.0,80.0,80,6.0,1,,3201.4873646209385,3233.0,2728.0,3638.0,886812.0,245.18956882096214,-0.086578792889054,-2.4752566377896583
ID19212,19212,13,49.006439208984375,260.58603204870235,68.50676235237752,0.0,81.0,81,6.0,1,,3202.5306859205775,3238.0,2698.0,3647.0,887101.0,248.8176460286779,-0.08709285657483967,-2.455828574406116
ID19225,19225,13,49.7153205871582,260.6230011038256,69.3943874312121,0.0,82.0,82,6.0,1,,3205.8050541516245,3237.0,2658.0,3662.0,888008.0,254.63576909361976,-0.08681276759920256,-2.393709625896746
ID19238,19238,13,50.77711868286133,260.6455872404351,70.07750591321201,0.0,83.0,83,6.0,1,,3202.6750902527074,3242.0,2649.0,3632.0,887141.0,258.7638448170506,-0.08762216251028598,-2.377270067802718
ID19251,19251,13,52.3040771484375,260.5024498859477,70.82663100182288,0.0,84.0,84,6.0,1,,3199.5740072202166,3233.0,2598.0,3686.0,886282.0,267.2122977625669,-0.08858185116868106,-2.3275166351411616
ID19264,19264,13,52.41847610473633,260.3370016915488,71.43965624878375,0.0,85.0,85,6.0,1,,3202.5703971119133,3240.0,2620.0,3666.0,887112.0,273.7980179397584,-0.08799693346152838,-2.2571978093762155
ID19276,19276,13,53.411346435546875,259.89005885640194,71.56262393326692,0.0,86.0,86,6.0,1,,3196.2707581227437,3221.0,2661.0,3659.0,885367.0,272.4903448172542,-0.08906260745247964,-2.29366144727195
ID19287,19287,13,49.01606750488281,259.3468729032431,70.40942672939589,0.0,87.0,87,6.0,1,,3208.245487364621,3253.0,2654.0,3625.0,888684.0,251.7172564580452,-0.08639771871829154,-2.410625232692174
ID19298,19298,13,45.68357849121094,259.0943060496346,69.74378307060539,0.0,88.0,88,6.0,1,,3220.8880866425993,3245.0,2737.0,3673.0,892186.0,239.4128046976808,-0.08377438422436155,-2.4601810616375657
ID19310,19310,13,38.99616622924805,257.26999522214254,67.94778046701,0.0,89.0,89,6.0,1,,3239.8447653429603,3254.0,2845.0,3641.0,897437.0,204.62176422511982,-0.07881126227226325,-2.70920604750189
ID19322,19322,13,26.8106746673584,254.65004251829268,66.58160791495226,0.0,90.0,90,6.0,1,,3284.42238267148,3284.0,2949.0,3599.0,909785.0,142.22142336974693,-0.06781196442913198,-3.359903304803333
ID19334,19334,13,21.15475845336914,252.5091638479931,66.1328962061767,0.0,91.0,91,6.0,1,,3313.0,3300.0,3093.0,3603.0,917701.0,115.09576982619326,-0.06123588106095394,-3.7552733784630123
ID19346,19346,13,15.344361305236816,249.7074285987129,66.0422824727595,0.0,92.0,92,6.0,1,,3351.5848375451264,3338.0,3173.0,3602.0,928389.0,91.19749345648296,-0.05249100591368725,-4.071916512897348
ID19358,19358,13,12.136120796203613,247.27364937382507,66.00127197317927,0.0,93.0,93,6.0,1,,3376.5956678700363,3369.0,3211.0,3615.0,935317.0,76.64175827575615,-0.04672845987551603,-4.319250925914764
ID19370,19370,13,9.174612045288086,244.25707776258008,66.87415595445366,0.0,94.0,94,6.0,1,,3399.0252707581226,3391.0,3264.0,3591.0,941530.0,60.871830873217405,-0.04123711766191643,-4.803359746401934
ID19381,19381,13,6.4737067222595215,240.7496303171317,68.54244972327416,0.0,95.0,95,6.0,1,,3439.3646209386284,3435.0,3242.0,3619.0,952704.0,53.47904144823217,-0.03396632450059315,-4.522524093244119
ID19396,19396,13,4.352567195892334,238.61572940913894,69.4772515872384,0.0,96.0,96,6.0,1,,3479.916967509025,3475.0,3370.0,3632.0,963937.0,47.33671745860909,-0.027382741649058476,-4.1393838030178935
ID19409,19409,13,2.8343355655670166,239.59861668445984,66.75778363025049,0.0,97.0,97,6.0,1,,3515.971119133574,3504.0,3380.0,3723.0,973924.0,56.47039011707715,-0.02196915880403496,-2.7971476063355647
ID18111,18111,14,36.88567352294922,340.16946502495966,244.04413378717342,0.0,0.0,0,6.0,1,,3297.0938628158847,3303.0,2939.0,3631.0,913295.0,179.6946036422368,-0.07655489864341421,-3.0422028966722157
ID18127,18127,14,26.233793258666992,342.18773743050264,242.03437900662396,0.0,1.0,1,6.0,1,,3338.2671480144404,3327.0,3046.0,3663.0,924700.0,136.7493771154896,-0.06577851793556613,-3.437636579754029
ID18142,18142,14,18.216949462890625,344.7111002967035,240.04087880126676,0.0,2.0,2,6.0,1,,3375.9314079422384,3364.0,3136.0,3634.0,935133.0,97.68823703442791,-0.056206278694949985,-4.116130035066698
ID18157,18157,14,13.59498119354248,345.7245164666376,239.21761626419095,0.0,3.0,3,6.0,1,,3408.841155234657,3403.0,3267.0,3619.0,944249.0,78.55375273165386,-0.04871865263963854,-4.444839776886263
ID18171,18171,14,8.852838516235352,348.01777873525833,237.02932955225356,0.0,4.0,4,6.0,1,,3456.898916967509,3448.0,3315.0,3617.0,957561.0,63.20398221938242,-0.039004392038899695,-4.4398095814998655
ID18186,18186,14,6.049216270446777,349.7779236937033,235.30824573175352,0.0,5.0,5,6.0,1,,3495.4584837545126,3493.0,3339.0,3662.0,968242.0,55.25313200392713,-0.031573918139503714,-4.1251452428298006
ID18200,18200,14,3.9541053771972656,350.42723331638285,235.06522101879972,0.0,6.0,6,6.0,1,,3541.303249097473,3540.0,3412.0,3698.0,980941.0,50.34621177536349,-0.02492138394757311,-3.5954962417393954
ID18214,18214,14,2.5796713829040527,351.74468708424473,234.4264437440966,0.0,7.0,7,6.0,1,,3582.494584837545,3582.0,3434.0,3734.0,992351.0,51.19022643204435,-0.020201153175099323,-2.885809942739621
ID18351,18351,15,2.4962847232818604,724.3805840651343,51.452279704364784,0.0,15.0,15,6.0,1,,3511.523465703971,3511.0,3381.0,3673.0,972692.0,51.85358070011789,-0.020486223680805375,-2.8326843348155033
ID18369,18369,15,5.328375816345215,725.7514238421018,54.235961162781365,0.0,16.0,16,6.0,1,,3441.241877256318,3440.0,3333.0,3610.0,953224.0,50.997044324122115,-0.030237233901400967,-4.2080098030439865
ID18387,18387,15,8.82088851928711,726.2317896409688,57.27614553217081,0.0,17.0,17,6.0,1,,3394.620938628159,3391.0,3231.0,3543.0,940310.0,59.70365216403834,-0.03926772119105892,-4.647867076855866
ID18405,18405,15,13.887906074523926,726.5222833498835,60.04383419967891,0.0,18.0,18,6.0,1,,3339.072202166065,3333.0,3148.0,3511.0,924923.0,67.79830904962135,-0.050938857907377136,-5.286788720055538
ID18423,18423,15,19.95636558532715,726.5773481711822,62.46214837250764,0.0,19.0,19,6.0,1,,3297.8772563176894,3286.0,3105.0,3517.0,913512.0,98.34694993013701,-0.060020067497295784,-4.282343349723307
ID18441,18441,15,33.553443908691406,726.6180114956035,65.75439145121953,0.0,20.0,20,6.0,1,,3218.9638989169675,3206.0,2924.0,3554.0,891653.0,158.38848359482455,-0.0759791106689974,-3.3422191035686786
ID18458,18458,15,58.89105987548828,725.8829775003531,69.73920123923857,0.0,21.0,21,6.0,1,,3124.7942238267146,3165.0,2635.0,3568.0,865568.0,262.87017564166,-0.09589156571146204,-2.5215639830957337
