LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID158812,158812,82,66393.921875,539.0905137259723,649.9224820498445,0.0,86.0,86,6.0,1,,27273.281588447655,25018.0,7412.0,53911.0,7554699.0,11639.203116559855,-0.29796744928223506,-1.9890958850678129
ID158912,158912,82,70903.7265625,539.1133523265996,649.5342861954101,0.0,87.0,87,6.0,1,,27421.346570397112,24344.0,6570.0,55006.0,7595713.0,13708.23283396435,-0.29492475536842183,-1.6734512381245579
ID159014,159014,82,74158.25,538.6555926452469,649.5255922516019,0.0,88.0,88,6.0,1,,27791.151624548736,23670.0,5896.0,56269.0,7698149.0,14860.418597644435,-0.28821616708044645,-1.5145224492531264
ID159119,159119,82,78468.109375,537.3553260679771,649.180723339254,0.0,89.0,89,6.0,1,,27421.361010830326,26702.0,5643.0,53321.0,7595717.0,13920.730547824744,-0.2939242870339665,-1.6399899059681102
ID159226,159226,82,71337.53125,536.5892184360697,648.9542597472554,0.0,90.0,90,6.0,1,,27637.241877256318,30325.0,7328.0,51468.0,7655516.0,12149.059506271902,-0.287609608054849,-1.8368232698712557
ID159340,159340,82,57602.93359375,536.5516533932827,648.807841206872,0.0,91.0,91,6.0,1,,28424.014440433213,28471.0,9771.0,48014.0,7873452.0,9040.110173903437,-0.27061199323798685,-2.3330825723950483
ID159454,159454,82,48321.7109375,536.4497292387504,648.6211139670506,0.0,92.0,92,6.0,1,,29253.007220216605,28387.0,16089.0,44561.0,8103083.0,6955.26383499867,-0.25634530667114175,-2.89961910486824
ID159569,159569,82,29827.23046875,537.1158666474868,648.586335004055,0.0,93.0,93,6.0,1,,31426.09025270758,31757.0,20806.0,42876.0,8705027.0,4763.662497149905,-0.21564457635972972,-3.627479781758738
ID159680,159680,82,22988.5390625,537.806150557553,648.735051652872,0.0,94.0,94,6.0,1,,32830.76895306859,32768.0,24849.0,49952.0,9094123.0,4394.106903872026,-0.19051644998131909,-3.5169393959167357
ID159791,159791,82,17474.462890625,538.2341432938038,648.7275911198851,0.0,95.0,95,6.0,1,,34535.238267148015,34368.0,28724.0,41697.0,9566261.0,2443.949361025092,-0.1611252471918659,-5.428336007012033
ID159908,159908,82,13830.302734375,539.0456460855894,648.3065152508228,0.0,96.0,96,6.0,1,,35975.501805054155,36221.0,24765.0,42539.0,9965214.0,3051.1403221410987,-0.13402069929381785,-3.6495476900026
ID160025,160025,82,10742.1279296875,540.043355697013,648.052273141874,0.0,97.0,97,6.0,1,,37978.3321299639,38917.0,29145.0,45656.0,1.0519998E7,3801.955449123002,-0.10091402450238947,-2.242379752833222
ID160146,160146,82,9697.021484375,540.8357262395905,647.7319676286896,0.0,98.0,98,6.0,1,,38555.80505415163,38580.0,30746.0,45824.0,1.0679958E7,3972.2762564442323,-0.09205047386355061,-1.9680886158997353
ID160267,160267,82,7477.2744140625,542.4293976088121,648.2663636885059,0.0,99.0,99,6.0,1,,38893.6642599278,38327.0,34284.0,47677.0,1.0773545E7,2684.3092125283165,-0.09136239057682742,-2.9137551942309874
ID160385,160385,82,6195.76513671875,543.4383901439234,648.8089234528065,0.0,100.0,100,6.0,1,,39372.606498194946,39169.0,35210.0,45993.0,1.0906212E7,2092.605481998687,-0.08486542947150047,-3.4896563000687406
ID149699,149699,83,11467.44921875,614.4181355177867,12.337222893489688,0.0,0.0,0,6.0,1,,35871.15162454874,35716.0,30240.0,42623.0,9936309.0,2503.469729609612,-0.12165221885455743,-3.969049331949698
ID149815,149815,83,12530.166015625,614.4331648943441,12.122407065708716,0.0,1.0,1,6.0,1,,35465.51985559567,35379.0,29735.0,42118.0,9823949.0,2510.594240198108,-0.12877818073860506,-4.176123558547322
ID149927,149927,83,13074.3798828125,613.9396400662131,11.389133721562546,0.0,2.0,2,6.0,1,,35157.75451263538,34958.0,29482.0,43297.0,9738698.0,2600.96341494732,-0.13263505859567454,-4.134027402417718
ID150041,150041,83,13626.42578125,613.3061931005911,10.90021570610586,0.0,3.0,3,6.0,1,,34957.05776173285,34873.0,29482.0,41360.0,9683105.0,2607.1163793532637,-0.13605637808637838,-4.223164054033104
ID150163,150163,83,13899.291015625,612.3704505588324,10.441010099377815,0.0,4.0,4,6.0,1,,34899.8916967509,34873.0,29567.0,43634.0,9667270.0,2681.642310410083,-0.1364127472361555,-4.111515746098916
ID150288,150288,83,11762.23828125,611.289408546477,9.416239561442568,0.0,5.0,5,6.0,1,,35393.429602888085,35210.0,30240.0,41528.0,9803980.0,2472.967679627621,-0.12204784276737939,-3.979178854493245
ID150410,150410,83,10254.5185546875,610.5622294207193,8.847198455821276,0.0,6.0,6,6.0,1,,35997.12274368231,35716.0,30325.0,44055.0,9971203.0,2459.6913511354246,-0.11462683370895388,-3.7894581173843465
ID150533,150533,83,7452.66650390625,610.5346669431796,8.850207342909824,0.0,7.0,7,6.0,1,,37164.49097472924,36895.0,33189.0,44982.0,1.0294564E7,2266.538415404688,-0.09705722512748588,-3.525029401049182
ID150661,150661,83,7442.7314453125,610.7855322145284,8.905762714880765,0.0,8.0,8,6.0,1,,37009.42238267148,36642.0,32431.0,45066.0,1.025161E7,2193.437433309879,-0.09749105858062992,-3.645275230349875
ID151013,151013,83,6236.63330078125,615.3616360020778,10.476611310366815,0.0,11.0,11,6.0,1,,37404.18772563177,37064.0,32852.0,42792.0,1.036096E7,1676.4479316489233,-0.09429738114697563,-4.645946050090992
ID151131,151131,83,7243.29248046875,616.2731808708506,10.151674289540734,0.0,12.0,12,6.0,1,,37026.77256317689,36895.0,32852.0,43213.0,1.0256416E7,1926.99372819941,-0.10019475898804761,-4.2791946258031714
ID151249,151249,83,9204.8330078125,617.0669319529014,10.289210733941836,0.0,13.0,13,6.0,1,,36478.17689530686,36390.0,31420.0,42202.0,1.0104455E7,2279.13073495148,-0.1100745966417099,-3.9593817916838163
ID151361,151361,83,10709.103515625,616.5269680510355,10.21198397536277,0.0,14.0,14,6.0,1,,35833.7761732852,35800.0,31083.0,43381.0,9925956.0,2548.4517650910034,-0.12052097443795991,-3.853747908991697
ID151468,151468,83,13306.5029296875,616.2148532159775,9.977878331723549,0.0,15.0,15,6.0,1,,34950.379061371845,34873.0,28893.0,41191.0,9681255.0,2638.2251631710615,-0.13319930416557899,-4.071484000528715
ID151577,151577,83,14886.884765625,614.6827347116485,8.909151435542583,0.0,16.0,16,6.0,1,,34367.65342960289,34200.0,28219.0,41697.0,9519840.0,3214.8998771397983,-0.13738278337012436,-3.4050744574224256
ID151687,151687,83,13415.583984375,614.267966662731,8.634989771614869,0.0,17.0,17,6.0,1,,34493.01083032491,34200.0,28808.0,42202.0,9554564.0,2913.276657016469,-0.12700619966774104,-3.445030989927797
ID151802,151802,83,10702.73828125,612.9959885483391,7.884614405205814,0.0,18.0,18,6.0,1,,35115.82671480144,34452.0,29061.0,44982.0,9727084.0,2853.833361274167,-0.1059965901030313,-2.917809952990141
ID151912,151912,83,8980.1904296875,612.6272415917299,7.700799955888749,0.0,19.0,19,6.0,1,,35953.60288808664,35547.0,30914.0,44476.0,9959148.0,2874.456456695927,-0.09409774396869235,-2.598451102538099
ID152023,152023,83,7807.4833984375,612.4860459112492,7.461488628883173,0.0,20.0,20,6.0,1,,36187.43682310469,35632.0,31504.0,44392.0,1.002392E7,2468.4630186487007,-0.07818879758331725,-2.4869310584649433
ID149696,149696,84,28422.98828125,572.4574452698351,312.89308764749165,0.0,0.0,0,6.0,1,,37572.93501805054,37653.0,24849.0,48857.0,1.0407703E7,5715.359424466189,-0.1645539417715945,-2.589711858551969
ID149812,149812,84,25550.287109375,569.0449151726074,310.324590554394,0.0,1.0,1,6.0,1,,38114.2238267148,38496.0,27629.0,48772.0,1.055764E7,5469.967560154299,-0.15459100435402306,-2.5482948647036876
ID149924,149924,84,25916.392578125,566.7203871000115,308.46427429677925,0.0,2.0,2,6.0,1,,37869.14079422383,38074.0,27208.0,49194.0,1.0489752E7,5243.846998035014,-0.15828479764092457,-2.7160606895186636
ID150038,150038,84,25968.29296875,564.9082342500596,306.93506741548987,0.0,3.0,3,6.0,1,,37931.761732851985,38159.0,26366.0,49025.0,1.0507098E7,5292.08561674007,-0.15762588172980072,-2.68243163342518
ID150159,150159,84,25674.486328125,561.5461238016015,303.0766310536464,0.0,4.0,4,6.0,1,,38256.220216606496,38917.0,26113.0,49278.0,1.0596973E7,5615.879483682138,-0.1533144899640163,-2.4670352234619854
ID150272,150272,84,25524.59765625,559.8891064477953,300.8902239706355,0.0,5.0,5,6.0,1,,38337.429602888085,38327.0,26281.0,49446.0,1.0619468E7,5722.388499960732,-0.15285668775298897,-2.417704428019402
ID150392,150392,84,27972.802734375,557.8153678937423,297.10810730832713,0.0,6.0,6,6.0,1,,37987.10469314079,38496.0,24512.0,49531.0,1.0522428E7,6096.575541498894,-0.15923877842810327,-2.3602412415797644
ID150517,150517,84,28694.033203125,556.2185171845535,294.0302288274605,0.0,7.0,7,6.0,1,,37902.8916967509,38074.0,23501.0,49025.0,1.0499101E7,6153.028362660633,-0.16206352156901171,-2.3828000341536835
ID150645,150645,84,33968.8359375,555.1719291785969,291.4455780035393,0.0,8.0,8,6.0,1,,37309.27797833935,38411.0,18447.0,49783.0,1.033467E7,7120.215449637719,-0.1734644972579325,-2.199392774612916
ID150766,150766,84,38380.046875,553.6452379339195,287.8464667947868,0.0,9.0,9,6.0,1,,36781.65342960289,37990.0,18279.0,49362.0,1.0188518E7,7798.140051545095,-0.1843493723501712,-2.132100645130683
ID150880,150880,84,44972.64453125,553.0712972411712,286.02103323002945,0.0,10.0,10,6.0,1,,35867.516245487364,36137.0,18195.0,52310.0,9935302.0,8564.003806203606,-0.1995338218814735,-2.0879879228193103
ID150997,150997,84,52722.83984375,551.7267202849301,283.0128603230728,0.0,11.0,11,6.0,1,,34933.906137184116,34452.0,16426.0,56354.0,9676692.0,10793.249573389687,-0.21497127457416063,-1.7726369922897236
